timestamp,open,high,low,close,volume
2006-01-03,126.7,129.44,124.23,128.87,6188700
2006-01-04,127.35,128.91,126.38,127.09,4861600
2006-01-05,126.0,127.32,125.61,127.04,3717400
2006-01-06,127.29,129.25,127.29,128.84,4319600
2006-01-09,128.5,130.62,128.0,130.39,4723500
2006-01-10,130.05,132.95,130.02,132.03,5536800
2006-01-11,131.45,133.8,131.42,131.97,4671400
2006-01-12,131.4,133.21,131.38,132.25,3725500
2006-01-13,132.02,133.66,131.9,133.26,2894900
2006-01-17,131.0,133.13,130.59,132.59,3621600
2006-01-18,131.06,132.68,131.01,131.85,4302700
2006-01-19,132.72,134.82,132.71,133.82,5010700
2006-01-20,132.85,134.06,131.25,131.44,5679900
2006-01-23,131.64,134.18,131.64,132.87,3847900
2006-01-24,132.63,134.09,132.34,133.0,3758000
2006-01-25,133.65,134.04,132.46,133.56,3740500
2006-01-26,133.01,138.36,133.01,137.4,4808200
2006-01-27,137.93,139.75,137.1,138.94,3687900
2006-01-30,139.55,140.64,138.71,139.87,3168600
2006-01-31,139.73,141.86,138.45,141.25,4906200
2006-02-01,141.4,142.95,140.43,141.71,3635900
2006-02-02,142.27,143.77,141.4,142.52,3711000
2006-02-03,141.55,143.12,140.7,142.74,4178900
2006-02-06,142.61,144.1,141.6,142.82,3849300
2006-02-07,142.35,143.31,139.48,139.48,5207700
2006-02-08,140.1,141.93,139.32,141.14,4481400
2006-02-09,141.14,142.85,140.49,140.85,3059500
2006-02-10,140.67,141.85,137.8,140.81,4433100
2006-02-13,139.65,141.8,139.15,139.65,2155200
2006-02-14,141.2,142.32,138.77,141.78,3003100
2006-02-15,141.89,145.5,141.4,145.14,4330700
2006-02-16,146.1,146.35,144.21,145.9,2847300
2006-02-17,146.19,146.22,144.06,145.54,2407200
2006-02-21,145.56,145.75,143.01,143.45,2539800
2006-02-22,143.45,145.53,143.23,145.53,2664200
2006-02-23,145.61,145.61,143.79,143.96,2457400
2006-02-24,143.05,145.4,143.05,144.16,2314700
2006-02-27,144.81,145.25,143.34,143.82,2282200
2006-02-28,143.6,144.16,141.11,141.29,3911700
2006-03-01,141.98,143.74,141.56,143.15,2989900
2006-03-02,143.07,144.86,142.24,144.0,2902300
2006-03-03,143.88,147.48,143.1,146.0,4042700
2006-03-06,146.54,147.08,144.31,145.02,2900600
2006-03-07,144.15,144.46,143.17,144.28,2775400
2006-03-08,143.55,144.67,141.26,142.49,3633100
2006-03-09,142.66,143.4,141.2,141.7,2262100
2006-03-10,141.63,142.45,140.15,141.53,3247000
2006-03-13,142.35,142.95,139.18,140.72,4945700
2006-03-14,145.83,149.5,145.62,149.42,11360100
2006-03-15,148.1,149.64,147.59,149.0,7557100
2006-03-16,149.0,149.69,147.45,147.69,6025800
2006-03-17,148.25,151.54,148.03,150.36,6670000
2006-03-20,149.83,152.66,149.8,152.18,4896800
2006-03-21,151.61,152.0,149.01,149.4,4460600
2006-03-22,148.4,152.36,148.3,151.82,3770800
2006-03-23,151.17,151.96,150.45,151.67,3852700
2006-03-24,151.68,152.57,150.88,152.17,2651700
2006-03-27,152.27,155.36,152.13,155.0,4314600
2006-03-28,155.01,157.82,154.16,154.16,6481600
2006-03-29,154.9,157.57,154.84,156.9,4458100
2006-03-30,157.73,159.63,155.71,156.81,4771000
2006-03-31,157.0,158.38,156.25,156.96,3298400
2006-04-03,157.99,159.88,156.92,158.12,3979800
2006-04-04,158.7,161.36,158.12,161.0,5088800
2006-04-05,160.5,161.92,160.0,160.75,4191500
2006-04-06,160.95,162.07,160.07,162.04,4180900
2006-04-07,161.05,163.16,159.89,161.02,4964100
2006-04-10,162.5,164.05,161.45,162.46,4470700
2006-04-11,163.0,163.2999,158.51,159.15,4962800
